State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
2500,08/24/2020,-1.06,-18.1,-27.6,-1.1,16.3,-5.1,-64.5,13.5,9.94
3400,08/24/2020,-4.42,-26.4,-28,-1.95,8,-4.21,-55.3,9.05,10.3
3600,08/24/2020,-2.04,-22.4,-51,-1.57,14.7,0.899,-60.1,13.5,12.6
4400,08/24/2020,-8.07,-36.5,-46.6,-8.88,2.97,-25.2,-66.2,14.2,24.1
900,08/25/2020,-4.23,-28.2,-45,-6.2,13.1,-11.7,-66.7,9.26,6.74
2500,08/25/2020,-0.668,-18.1,-25,-0.115,14.2,-6.3,-64.2,15,14
3400,08/25/2020,-4.22,-27.1,-26.4,-1.26,8.24,-3.41,-57.1,9.57,11
3600,08/25/2020,-2.17,-22.6,-52.2,-1.41,14.8,1.32,-59.5,13.9,13.3
4400,08/25/2020,-9.99,-38.4,-56.3,-6.42,0.813,-26.5,-78.7,13.8,25.5
900,08/26/2020,-2.56,-27.9,-43.2,-7.36,15.6,-11.6,-67.8,10.4,6.97
2500,08/26/2020,-0.725,-17.6,-28,-1.76,14.9,-9.45,-64.7,15,13.7
3400,08/26/2020,-3.57,-26.5,-25.2,-1.89,8.41,-4.48,-55.3,9.34,10.4
3600,08/26/2020,-1.81,-22.6,-51.8,-0.304,14.8,1.27,-61.1,14.7,14.7
4400,08/26/2020,-13.4,-37.1,-61.6,-10.9,4.95,-27.8,-77.4,13.4,20.7
900,08/27/2020,-3.68,-28.8,-47.7,-8.87,15.8,-13.2,-69.5,9.12,4.77
2500,08/27/2020,-1.22,-18.9,-28.8,-2.33,14.1,-1.96,-63.9,12.9,10.6
3400,08/27/2020,-3.14,-26.5,-26.9,-1.43,9.52,-0.801,-54,10.1,10.8
3600,08/27/2020,-1.35,-22.8,-52.5,-1.02,15.7,-1.75,-60.2,15,14.4
4400,08/27/2020,-11.8,-37.7,-61.7,-12.5,5.22,-29,-74.3,9.18,12.6
900,08/28/2020,-3.65,-30.4,-45.4,-10,16.4,-12.8,-67.8,9.46,4.94
2500,08/28/2020,-2.1,-18.7,-32.3,-2.72,13.5,0.675,-62.5,11.1,8.02
3400,08/28/2020,-3.39,-26.7,-29.1,-2.27,9.71,-1.13,-54.5,10,10.7
3600,08/28/2020,-1.21,-22.9,-52.1,-1.38,15.4,-1.13,-58.9,15.1,14.8
4400,08/28/2020,-9.02,-37.8,-60.4,-15.9,10.6,-30.3,-81.1,15.6,19.8
900,08/29/2020,-3.07,-30.9,-45.3,-6.47,17.5,-14.1,-68.9,12.2,8.75
2500,08/29/2020,1.36,-18.9,-34.5,1.54,14.1,-1.5,-63,18.3,22.2
3400,08/29/2020,-2.93,-27.2,-29.1,-0.535,10.7,-0.745,-55.1,11.3,12.1
3600,08/29/2020,-0.841,-23.5,-53.3,0.363,15.7,0.376,-57.8,15.5,15.5
4400,08/29/2020,-8.45,-34.6,-59.5,-16.5,7.31,-31.6,-79.8,16.7,24.8
900,08/30/2020,-2.61,-30.5,-42.5,-4.38,17,-13.4,-66.9,11.7,8.37
2500,08/30/2020,2.47,-19.3,-32.9,3.37,12.6,1.66,-62.9,20.8,29
3400,08/30/2020,-3.51,-27.1,-30.6,-0.785,9.19,-0.114,-55.4,10.6,12.2
3600,08/30/2020,-1.03,-23.9,-50.9,0.456,14.8,-1.49,-59.2,14.7,14.6
4400,08/30/2020,-7.55,-33.5,-56.3,-13.8,6.01,-32.8,-77.5,17.6,27.9
900,08/31/2020,-2.03,-28.7,-39.5,-2,14.4,-11.7,-67.2,12.1,10.6
2500,08/31/2020,2.49,-19.5,-33.5,1.99,9.63,7.17,-61.8,19.8,30.2
3400,08/31/2020,-3.91,-27.8,-30.1,-3.47,6.67,0.0783,-54.8,8.01,9.47
3600,08/31/2020,-0.795,-24.3,-48.1,-1.28,12.5,1.63,-58.6,12.5,12.5
4400,08/31/2020,-6.91,-31.8,-52.9,-17.8,4.84,-28.4,-70.6,16.3,26.6
900,09/01/2020,-1.68,-28.6,-41.7,0.563,15.1,-11.5,-64.4,13.2,11.9
2500,09/01/2020,3.59,-21.6,-35.6,2.28,11.1,9.49,-61,21,31
3400,09/01/2020,-3.06,-28.7,-34.2,-5.21,5.97,3.18,-50.9,6.28,6.88
3600,09/01/2020,0.162,-24.7,-48.1,-2.89,11.9,3.41,-54.9,10.6,9.57
4400,09/01/2020,-7.36,-30.3,-57.2,-23,6.6,-23.9,-62.9,10.3,13.7
900,09/02/2020,1.65,-27.7,-41.6,2.14,11.5,2.11,-61.3,11,10.7
2500,09/02/2020,4.75,-25.5,-33.4,0.44,5.8,36.2,-58,16.5,27.4
3400,09/02/2020,-1.37,-31.2,-35.3,-7.7,1.81,23.6,-48.7,2.52,3.44
3600,09/02/2020,2.78,-26.2,-45.7,-6.53,8.45,23.9,-50.4,7.29,6.42
4400,09/02/2020,-2.35,-30.7,-56.1,-25,0.477,-19.4,-67.3,5.48,10.1
900,09/03/2020,-4.58,-31.3,-42,2.8,10.4,-14,-61.4,10.6,10.8
2500,09/03/2020,3.68,-23.5,-33.3,2.98,9.34,8.42,-58.4,20.8,32.5
3400,09/03/2020,-4.74,-31.8,-35.5,-6.43,2.92,-2.58,-50,4.12,5.48
3600,09/03/2020,-0.534,-26.5,-43.8,-6.19,8.35,6.53,-50.9,7.34,6.59
4400,09/03/2020,-5.81,-31.3,-54.3,-20.1,4.14,-15,-64,9.45,14.5
900,09/04/2020,-5.48,-29,-41.4,3.76,11.1,-16.5,-60.7,10.3,9.69
2500,09/04/2020,4.34,-22.3,-30.3,6.17,11.4,6.38,-58.8,22.3,33.5
3400,09/04/2020,-4.35,-30.3,-32.8,-6.26,4.06,-4.85,-48.8,5.02,6.16
3600,09/04/2020,-0.943,-26,-41.9,-6.41,9.29,2.08,-50.5,7.42,6
4400,09/04/2020,-8.92,-31.3,-54.7,-17.1,-1.9,-10.5,-64.4,1.52,4.96
900,09/05/2020,-5.35,-26.8,-41.4,0.9,13.3,-18.6,-60.6,10.6,8.71
2500,09/05/2020,0.725,-22.6,-25.6,2.83,12.1,1.61,-60,15.3,18.8
3400,09/05/2020,-4.48,-28.2,-30.7,-7.78,4.23,-7.7,-47.4,4.71,5.44
3600,09/05/2020,-1.11,-24.2,-38.9,-6.3,9.59,-2.09,-50.5,7.4,5.76
4400,09/05/2020,-8.52,-32.3,-49.6,-16,0.684,-6.05,-64.4,2.17,4.06
900,09/06/2020,-5.33,-25.1,-42.3,2.38,15.4,-18.4,-61.6,13.3,11.9
2500,09/06/2020,-0.318,-21.6,-25,2.29,14.5,0.537,-59.8,12.9,11.9
3400,09/06/2020,-2.87,-26.1,-28,-6.08,6.14,-7.37,-46,6.75,7.6
3600,09/06/2020,-0.569,-22.8,-38.1,-4.59,11.7,0.175,-53.1,9.54,7.96
4400,09/06/2020,-8.61,-29.6,-39.5,-19.4,2.57,-1.58,-64.1,2.64,3.36
900,09/07/2020,-2.84,-21.7,-40.6,4,13.3,-19.4,-60.4,14.2,14.6
2500,09/07/2020,-2.01,-26.4,-27,-6.08,8.3,12.7,-58.7,5.68,3.48
3400,09/07/2020,-4.31,-30.9,-30.7,-13,2.49,0.29,-44.5,1.11,0.212
3600,09/07/2020,-1.28,-26.7,-39.6,-12.7,6.61,7.1,-46.3,3.82,1.69
4400,09/07/2020,-8.29,-27.7,-36.6,-34.9,-3.28,-6.15,-74.2,-7.13,-9.88
900,09/08/2020,-6.5,-23.1,-42.8,0.736,17.5,-22.2,-65.2,12.3,9
2500,09/08/2020,-3.28,-18.5,-19.1,-0.334,12.8,-8.29,-63.1,11.5,10.5
3400,09/08/2020,-4.82,-21,-28,-6.33,5.53,-16.4,-49,7.55,9.57
3600,09/08/2020,-3.63,-20.3,-36.3,-5.42,11.3,-7.63,-61.4,10,9.01
4400,09/08/2020,-9.09,-30.1,-35.4,-21.1,5.22,-10.7,-72.6,2.09,0.0041
900,09/09/2020,-6.67,-20.6,-44,1.23,19,-21.5,-66.9,12.3,8.09
2500,09/09/2020,-4.17,-17.1,-17.4,0.54,13.6,-12.2,-65.9,12,10.7
3400,09/09/2020,-5.39,-17.7,-28.5,-5.88,5.54,-17.6,-50.6,8.06,10.5
3600,09/09/2020,-4.04,-17.2,-37.4,-4.3,12.8,-11.6,-65.3,11.1,9.87
4400,09/09/2020,-8.37,-29.3,-32.9,-22.8,6.16,-15.3,-69.4,3.02,0.758
900,09/10/2020,-4.34,-18.3,-43.9,3.12,21.4,-18.3,-68.9,14.6,10.4
2500,09/10/2020,-4.55,-16,-16,2.24,13.4,-13.4,-67.4,12.5,11.9
3400,09/10/2020,-4.54,-15.8,-25.3,-5.13,5.29,-16.1,-50.3,8.36,11.3
3600,09/10/2020,-3.17,-16.8,-37.9,-0.966,13.9,-11.5,-65.9,12.8,11.9
4400,09/10/2020,-9.37,-27.6,-33.2,-20.7,5.97,-19.9,-73,6.63,7.83
900,09/11/2020,-4.04,-18.7,-42.3,3.47,20.8,-12.6,-70.5,15,11.2
2500,09/11/2020,-5.08,-17.5,-18.1,2.31,10.3,-12.6,-68.4,10.6,11.2
3400,09/11/2020,-5.08,-16.1,-28.5,-3.89,3.25,-15.9,-50.8,7.74,12
3600,09/11/2020,-2.67,-16.1,-41.6,-0.0239,13.2,-10.2,-67.8,12.7,12.5
4400,09/11/2020,-9.37,-27.6,-33.7,-23.5,6.68,-24.4,-73.6,7.81,9.56
900,09/12/2020,-4.07,-19.3,-43.2,4.61,18.4,-11.6,-70.7,14.5,12.1
2500,09/12/2020,-4.62,-15.3,-19.5,4.2,10.5,-9.98,-66.2,12,14
3400,09/12/2020,-4.33,-14.2,-30.2,-0.409,3.52,-14.3,-52,9.01,14.2
3600,09/12/2020,-2.56,-14.3,-43.4,0.214,13.5,-9.41,-70.4,13,12.7
4400,09/12/2020,-8.8,-27.3,-16.8,-19.3,7.54,-29,-72.9,8.71,10.8
900,09/13/2020,-4.83,-20.3,-47.7,2.66,17.6,-13.4,-71.4,12.5,9.17
2500,09/13/2020,-4.4,-16.3,-22.6,6.42,12.5,-12.9,-67.4,12.8,13.3
3400,09/13/2020,-5.03,-14.7,-32.2,-0.528,4.64,-15,-52.6,8.9,12.9
3600,09/13/2020,-2.8,-15.2,-44.3,-0.0247,15.3,-12.6,-68.5,13,11.3
4400,09/13/2020,-8.95,-30.5,-27.3,-18.4,9.85,-33.6,-72.4,8.09,7.24
900,09/14/2020,-4.55,-22.7,-51.7,2.33,18.6,-11.1,-71.3,13.5,10.3
2500,09/14/2020,-3.81,-18.1,-24,9.94,12.2,-10.9,-67.8,13.3,14.8
3400,09/14/2020,-5.65,-17,-30.4,0.63,3.74,-14.4,-51.2,8.89,13.8
3600,09/14/2020,-2.68,-16.5,-45.9,2.97,14.3,-11.5,-66.5,13.1,12.3
4400,09/14/2020,-6.44,-33.1,-23.4,-13.7,6.7,-31.7,-72.8,13.9,22.7
900,09/15/2020,-5.87,-24.7,-54.9,1.97,15.8,-9.49,-72.7,12.5,10.4
2500,09/15/2020,-2.96,-19.3,-23.4,15.5,11.9,-10.4,-69.4,14.3,17.1
3400,09/15/2020,-5.46,-19.1,-28.5,1.98,3.4,-11.4,-50.2,8.86,14
3600,09/15/2020,-1.7,-17.6,-45,3.62,13.8,-8.58,-64.5,13,12.5
4400,09/15/2020,-7.76,-36.9,-23.3,-12.6,3.35,-29.8,-73.6,14.9,28.2
900,09/16/2020,-6.8,-25.5,-54.3,2.88,14.1,-9.58,-73.2,12.3,11.2
2500,09/16/2020,-2.58,-18,-25.9,18.8,11.1,-9.26,-70.2,14.2,17.8
3400,09/16/2020,-5.59,-19,-28.1,3.94,3.39,-13.1,-51,9.61,15.5
3600,09/16/2020,-2.3,-17.5,-47.7,4.64,13.2,-11.5,-62.8,12.9,12.7
4400,09/16/2020,-7.76,-38.5,-21.2,-11.4,3.16,-27.9,-66.3,16.3,30.6
900,09/17/2020,-6.61,-24.9,-53.7,1.18,13.2,-8.95,-71,11.8,10.9
2500,09/17/2020,-1.91,-19.1,-29,20.4,11.8,-8.76,-68.6,15.3,19.2
3400,09/17/2020,-4.69,-19.3,-27.1,6.59,4.79,-10.3,-50.1,10.9,16.6
3600,09/17/2020,-2.19,-17.6,-47.4,4.94,14.1,-11.5,-63.6,13.6,13.2
4400,09/17/2020,-6.18,-38.3,-22.4,-10.5,3.1,-26,-62.9,16.1,29.8
900,09/18/2020,-6.54,-25.4,-56.2,2.28,13.2,-12.6,-70,11.9,11.1
2500,09/18/2020,-0.889,-19.9,-28.4,22.2,12.8,-10.2,-66.6,17.7,23.1
3400,09/18/2020,-3.5,-19,-23.4,8.34,5.9,-9.74,-49.4,11.9,17.5
3600,09/18/2020,-1.3,-18,-44.1,6.58,14.5,-10.7,-63.5,14.8,15.1
4400,09/18/2020,-6.57,-38.2,-12.2,-11,3.08,-24.1,-62,16.9,30.9
900,09/19/2020,-5.75,-25.2,-56,3.76,14.1,-8.15,-69.9,12.6,11.6
2500,09/19/2020,1,-19.8,-28,23.8,13.5,-7.58,-67.3,18.4,23.9
3400,09/19/2020,-2.94,-19.8,-21.1,9.7,5.38,-9.31,-48.7,12.5,19.2
3600,09/19/2020,-0.0861,-18.8,-43.9,8.96,15.3,-10,-63.1,16,16.5
4400,09/19/2020,-6.5,-39.9,-30.6,-9.86,1.96,-22.2,-58.8,16.1,29.7
900,09/20/2020,-4.97,-24.5,-49.5,7.18,16,-10.4,-70.2,14.3,13.2
2500,09/20/2020,1.45,-19.4,-26.9,24.4,15.2,-3.57,-66.7,19.4,24
3400,09/20/2020,-2.41,-20.4,-20.6,12,5.49,-7.95,-49.4,13.5,21.1
3600,09/20/2020,0.701,-19.3,-42.6,10.3,15,-8.95,-63.5,16.8,18.3
4400,09/20/2020,-3.7,-40.2,-36.8,15,5.15,-20.3,-61.9,27.8,49.6
900,09/21/2020,-4.45,-24.2,-48.7,8.22,17.1,-12.2,-70.7,15.3,14.1
2500,09/21/2020,0.865,-20.4,-27.7,23.7,15.6,-4.8,-67.3,20.1,25
3400,09/21/2020,-1.68,-20.8,-20.5,13.7,6.72,-6.03,-51,14.8,22.3
3600,09/21/2020,0.899,-19.8,-42.4,10,15.1,-7.51,-64.3,17,18.6
4400,09/21/2020,-4.75,-41.2,-40.8,23.6,6.59,-19.6,-65.6,29.9,52.1
900,09/22/2020,-3.03,-24.8,-43.2,10.9,17.1,-13.9,-68.8,16.9,16.8
2500,09/22/2020,0.576,-20.6,-29.2,22.8,15.2,-2.46,-65.5,19.9,24.9
3400,09/22/2020,-1.8,-21.1,-21.7,14.7,7,-6.73,-49.4,15.2,23
3600,09/22/2020,0.463,-20.3,-43.9,12,15.8,-9.08,-62.9,17.8,19.5
4400,09/22/2020,-5.37,-39.8,-47.1,24.2,6.92,-18.9,-67.6,28.2,48.4
900,09/23/2020,-1.04,-24.2,-42,11.2,19.6,-17.7,-67.5,18.8,18.3
2500,09/23/2020,1.2,-20.4,-25.1,22.7,15.3,-5.32,-63.9,20.4,25.9
3400,09/23/2020,-1.68,-21.7,-22.1,13.5,6.64,-2.33,-47.3,14.6,22.1
3600,09/23/2020,1.44,-20.3,-43.9,11.8,17,-2.26,-62.7,18.5,19.8
4400,09/23/2020,-4.76,-39.6,-50.5,25.5,8.5,-18.1,-75.1,28.6,47.5
900,09/24/2020,-0.293,-24.5,-42,14,21.5,-20.1,-67.6,20.9,20.6
2500,09/24/2020,1.53,-18.5,-21.5,19.7,15.3,-8.88,-62.5,20.8,26.7
3400,09/24/2020,-1.76,-22,-22.3,12.4,6.73,-3.49,-47.6,14.7,22.1
3600,09/24/2020,1.6,-20.3,-43.2,12.8,16.1,-4.36,-62,18.8,21
4400,09/24/2020,-8.15,-39.2,-48.4,23.3,9.58,-17.4,-78.7,26.3,42
900,09/25/2020,-0.0004,-24.1,-42.8,13.6,21.6,-18.1,-67.5,21.2,21
2500,09/25/2020,1.03,-17,-23.7,16.2,15.9,-5.28,-62.8,20,24.4
3400,09/25/2020,-2.33,-22.2,-24.8,10.1,6.19,-2.56,-48.1,13.6,20.4
3600,09/25/2020,1.12,-20.4,-45.4,11.4,16.2,-2.4,-62.5,17.6,18.8
4400,09/25/2020,-8.51,-39.9,-57,21.2,8.99,-16.7,-79.6,24.6,38.6
900,09/26/2020,0.0107,-22.9,-38.5,13.7,21.7,-21.7,-66.5,21.2,20.9
2500,09/26/2020,0.728,-17.4,-22.8,14.3,16,-8.75,-63.4,19.4,23.2
3400,09/26/2020,-2.63,-21.8,-26.3,8.12,7.16,-3.3,-48,13,18.5
3600,09/26/2020,-0.0583,-21,-44.3,8.76,15,-3.29,-61.6,15.7,16.2
4400,09/26/2020,-9.77,-39.8,-60.1,15.1,6.36,-16,-81.6,22.6,37.9
900,09/27/2020,-1.43,-24.5,-40.1,10.5,18.5,-21,-64.3,18.2,18.1
2500,09/27/2020,-0.0087,-18.5,-21.6,11.8,14,-9.96,-62.2,18.5,23.4
3400,09/27/2020,-2.94,-21.2,-24.3,7.29,6.13,-6.42,-46.2,11.6,16.8
3600,09/27/2020,-0.613,-20.2,-44.2,7.87,14.1,-4.09,-60.4,14.2,14.3
4400,09/27/2020,-13.1,-40.3,-64.1,-9.71,1.84,-15.2,-80.9,10.2,17.7
900,09/28/2020,-1.78,-24.7,-38.5,9.8,18.9,-23.3,-64.3,17.4,16.4
2500,09/28/2020,-0.335,-18,-23.8,9.5,14.6,-11.6,-60.4,18.5,23
3400,09/28/2020,-3.55,-20.7,-24.1,6.24,5.82,-9.61,-44.3,11.1,16.1
3600,09/28/2020,-1.22,-19.1,-43.6,6.54,14.5,-9.35,-58.5,14,13.6
4400,09/28/2020,-13.6,-39.6,-64.5,-15.5,1.78,-15.6,-80.2,7.92,13
900,09/29/2020,-3.09,-24.9,-41.5,6.8,19.6,-23.9,-62.6,15.9,13.4
2500,09/29/2020,-0.737,-18,-25.2,5.48,14.2,-15.1,-61.2,17.7,21.7
3400,09/29/2020,-4.27,-21.4,-24.5,4.17,5.29,-9.75,-46.8,10.3,14.9
3600,09/29/2020,-2.09,-19.8,-43.4,4.38,13.8,-8.91,-61.1,12.3,11.1
4400,09/29/2020,-13.4,-39.1,-60.6,-21.9,3.76,-16,-79.8,6.36,7.85
900,09/30/2020,-4.71,-26.4,-44,5.63,16.9,-16.2,-62.2,14.3,12.5
2500,09/30/2020,-2.11,-19.1,-33.2,1.97,14.1,-14.2,-61.1,15.3,17
3400,09/30/2020,-4.16,-21.6,-24.1,3.72,5.45,-8.84,-47.6,10,14.2
3600,09/30/2020,-2.85,-21.1,-42.5,1.77,11.9,-7.82,-60.4,10.5,9.43
4400,09/30/2020,-12.2,-37.9,-65.3,-22.8,1.28,-16.4,-74,3.94,5.55
900,10/01/2020,-4.94,-25.4,-42.3,2.1,15.8,-14.7,-61.7,12.1,9.71
2500,10/01/2020,-3.08,-19.6,-35.7,1.92,14,-13.1,-61.5,13.5,13.4
3400,10/01/2020,-4.13,-20.9,-27.4,4.32,4.6,-10.2,-47.1,9.84,14.7
3600,10/01/2020,-2.73,-20.8,-43.5,0.395,12.4,-6.04,-58.6,10.3,8.66
4400,10/01/2020,-9.56,-38.2,-64.7,-26.7,0.613,-16.8,-73.4,1.38,1.35
900,10/02/2020,-5.2,-25.2,-43.2,2.43,16,-15.8,-62.3,11.5,8.48
2500,10/02/2020,-3.21,-19.7,-34.2,3.38,15,-14.8,-60,13.6,12.7
3400,10/02/2020,-3.54,-20.7,-28.2,6.21,5.5,-10.8,-47.1,11.3,16.7
3600,10/02/2020,-2.9,-20.5,-42.1,0.658,12.7,-7.3,-57.7,10.4,8.49
4400,10/02/2020,-5.66,-37.3,-63.6,-23.3,2.96,-17.2,-69,5.09,6.35
900,10/03/2020,-5.58,-25.1,-44.3,2.02,14.9,-14.1,-61.2,10.6,7.7
2500,10/03/2020,-4.05,-19.5,-34,2.39,14.4,-11.3,-58.7,11.5,9.04
3400,10/03/2020,-3.19,-20.4,-27.1,7.48,4.89,-9.95,-46.8,11.5,17.6
3600,10/03/2020,-2.05,-19.4,-42.2,2.35,13.2,-6.33,-56.1,12.1,11.3
4400,10/03/2020,-5.8,-37.6,-61.2,-24.3,-2.31,-17.6,-66.3,4.03,9.44
900,10/04/2020,-3.77,-23.5,-43.7,2.05,17.8,-11.6,-62.9,13.7,11
2500,10/04/2020,-3.6,-19,-35.8,2.49,15.2,-11.1,-58.5,12,9.28
3400,10/04/2020,-2.75,-19.6,-27.5,6.72,6.15,-8.68,-47.3,12.5,18.4
3600,10/04/2020,-0.957,-18.7,-41.8,2.09,14.2,-5.81,-55.2,13.3,12.6
4400,10/04/2020,-3.26,-34.8,-57.2,-22,-1.67,-18,-65.4,6.03,12.8
900,10/05/2020,-4.01,-23.7,-42.8,0.0368,17.2,-12.2,-61.7,12.7,9.66
2500,10/05/2020,-3.02,-19.8,-36.5,1.86,15.7,-7.69,-58.4,11.1,7.06
3400,10/05/2020,-1.89,-19.6,-27.6,5.52,6.3,-6.51,-46.2,12.1,17.7
3600,10/05/2020,-0.336,-19.7,-42.8,1.33,14.3,-2.23,-54.9,13,12.1
4400,10/05/2020,-1.98,-33.5,-52.9,-20.7,1.81,-18.9,-65.3,7.07,11.5
900,10/06/2020,-3.19,-23.5,-42.4,1.05,18.7,-10.2,-63.2,13.9,10.7
2500,10/06/2020,-3.13,-19.6,-35.1,2.99,16.5,-5.76,-58.2,10.9,5.96
3400,10/06/2020,-0.922,-18.5,-26.6,7.72,8.1,-6.67,-45.7,13.7,19
3600,10/06/2020,0.722,-19.1,-41.9,1.66,15.7,-0.876,-52.9,14.1,12.9
4400,10/06/2020,-1.43,-35.2,-53.1,-20.1,0.773,-19.9,-63,6.94,12.2
900,10/07/2020,-2.49,-22.6,-41.7,1.41,20.4,-12.4,-65,14.1,10.1
2500,10/07/2020,-3.49,-21.3,-31.9,4.1,16.7,-3.91,-59.3,11.1,6.16
3400,10/07/2020,-1.64,-18.4,-27.1,8.02,8.35,-9.79,-46.4,13.9,19
3600,10/07/2020,0.143,-18.9,-42.9,1.97,16.1,-3.22,-54,14.1,12.6
4400,10/07/2020,-4.05,-38.5,-49.2,-19,2.84,-20.8,-70.4,11,18.3
900,10/08/2020,-2.46,-23.2,-41.4,2.47,21.3,-12.2,-63.8,15.3,11.3
2500,10/08/2020,-3.8,-21.6,-31.1,3.48,17.5,-5,-61.2,10.8,4.8
3400,10/08/2020,-1.48,-18.7,-22.5,7.71,8.96,-9.56,-46.9,14.1,18.9
3600,10/08/2020,0.252,-18.5,-42.2,1.74,15.5,-1.47,-56.2,13.4,11.8
4400,10/08/2020,-5.15,-38.9,-50.5,-16,2.09,-21.8,-68,10.4,17.8
900,10/09/2020,-0.853,-23.8,-40.7,2.86,22.6,-8.28,-63.8,16.6,12.7
2500,10/09/2020,-2.64,-22.3,-34.7,3.28,17.5,-2.38,-62.5,12.1,7.44
3400,10/09/2020,-1.77,-18.5,-19.7,6.73,8.7,-7.38,-46.8,13,17.1
3600,10/09/2020,1.15,-19.6,-44.1,2.23,15.9,3.19,-54.2,14,12.7
4400,10/09/2020,-6.35,-38.9,-41.2,-8.79,0.481,-22.7,-70.3,9.93,18.8
900,10/10/2020,-1.7,-25.1,-42.5,0.811,21.4,-5.82,-65.1,14.3,9.75
2500,10/10/2020,-3.24,-22.8,-34.8,2.83,15.9,-6.96,-64,11.9,8.45
3400,10/10/2020,-2.49,-18.2,-21.2,5.29,8.72,-5.86,-46.3,11.7,14.6
3600,10/10/2020,-0.0263,-20,-44.1,-0.678,15.4,3.08,-55.5,11.8,9.08
4400,10/10/2020,-3.96,-35.8,-41.3,-5.94,7.84,-23.7,-74,15.3,21.8
900,10/11/2020,-2.37,-25.4,-42.6,0.822,18.8,-7.47,-62.5,11.7,7.16
2500,10/11/2020,-2.69,-21.2,-31.1,3.65,15.4,-6.76,-64.3,12.3,9.83
3400,10/11/2020,-2.73,-18.9,-22.7,5.84,7.81,-5.16,-46.1,11.4,14.8
3600,10/11/2020,-1.29,-21.1,-44.4,-1.39,14.3,2.03,-55.8,10.6,7.89
4400,10/11/2020,-6.27,-38,-40.6,-7.25,7.86,-24.7,-74.7,15.1,21.5
900,10/12/2020,-1.19,-25.9,-50.1,3.17,20.6,-2.59,-61.4,12.8,8.02
2500,10/12/2020,-3.64,-24.2,-33,1.59,16.6,-4.93,-64.4,12.4,8.81
3400,10/12/2020,-3.91,-22.7,-27.5,3.53,6.7,-1.67,-45.4,9.11,11.4
3600,10/12/2020,-3.27,-24.4,-46.6,-5.41,13.2,3.77,-60.7,8.68,5.27
4400,10/12/2020,-14.3,-43.6,-58,-19.8,0.109,-22.7,-75.8,6.21,11.4
900,10/13/2020,-2.15,-26.7,-43.4,2.17,18.4,-5.73,-61.8,11.3,6.92
2500,10/13/2020,-3.34,-24.3,-32.6,1.79,15.3,-1.64,-66.3,10.9,7.08
3400,10/13/2020,-2.93,-21,-24.9,4.57,7.21,-4.39,-46.8,10.4,13.4
3600,10/13/2020,-2.34,-23,-45.6,-3,13.5,-1.27,-58.5,10.2,7.72
4400,10/13/2020,-10.3,-40.7,-50.2,-16.7,2.95,-20.7,-79.2,10.5,17.3
900,10/14/2020,1.26,-25.7,-44.8,2.18,20.3,-2.65,-60.4,12.9,8.24
2500,10/14/2020,-1.85,-25.5,-31.8,0.547,11.5,10.5,-65.4,10.2,9.29
3400,10/14/2020,-1.04,-22.7,-26.1,2.11,6.58,-0.993,-44.8,8.95,11.3
3600,10/14/2020,-0.531,-24.3,-45,-4.35,11.7,0.597,-58.8,9.35,7.57
4400,10/14/2020,-7.97,-40.5,-55,-10.6,0.235,-18.7,-74.9,9.54,18.1
900,10/15/2020,-2.86,-27.9,-48.7,1.4,15.3,-3.1,-64.2,10.3,7.05
2500,10/15/2020,-1.36,-23.7,-34.8,5.41,13.3,0.232,-66.3,13.4,13.9
3400,10/15/2020,-2.03,-20.4,-27.3,4.67,6.02,-1.38,-46.2,9.93,13.6
3600,10/15/2020,-1.35,-23.2,-43.1,-0.309,12,-4.26,-58.8,11.1,10.5
4400,10/15/2020,-8.6,-38,-51,-13.6,3.19,-16.7,-76.8,8.32,12.9
900,10/16/2020,-2.91,-27.5,-48.1,0.793,13,1.28,-63.7,9.42,7.15
2500,10/16/2020,-2.23,-22.7,-34.6,6.24,10.7,-3.71,-65.6,11.5,12.7
3400,10/16/2020,-2.3,-21.4,-26.1,4.57,4.79,-2.12,-46.1,9.63,14.2
3600,10/16/2020,-1.86,-22.6,-42.9,-0.713,11.2,-7.98,-60.2,10.5,9.9
4400,10/16/2020,-9.45,-37.1,-58.6,-19.3,2.73,-14.8,-75.1,5.43,8.03
900,10/17/2020,-1.01,-26.6,-47.1,4.53,15.3,1.1,-64.4,13.5,12.4
2500,10/17/2020,0.0413,-21.6,-37,11.9,14.1,-0.771,-58.3,14.8,15.7
3400,10/17/2020,-1.66,-21.9,-27.2,5.38,5.21,-1.42,-47.3,10.5,15.4
3600,10/17/2020,-0.866,-22.3,-42.6,1.34,12,-6.34,-60.9,12.5,13
4400,10/17/2020,-8.16,-37.8,-62.5,-17,8.04,-12.8,-72.5,8.76,9.79
900,10/18/2020,0.001,-25.7,-47.2,5.94,17.3,1.35,-65,15.6,14.4
2500,10/18/2020,-0.137,-21.8,-38,12.8,13,1.55,-57.4,13,13.4
